"","pr","X0"
"938",2403,0
"939",2404,0
"940",2406,0
"941",2408,0
"942",2409,0
"943",2411,0
"944",2417,0
"945",2419,0
"946",2423,0
"947",2426,0
"948",2427,0
"949",2434,0
"950",2436,0
"951",2439,0
"952",2443,0
"953",2444,0
"954",2447,0
"955",2448,0
"956",2449,0
"957",2451,0
"958",2453,0
"959",2454,0
"960",2455,0
"961",2456,0
"962",2458,0
"963",2460,0
"964",2461,0
"965",2462,0
"966",2465,0
"967",2467,0
"968",2468,0
"969",2470,0
"970",2471,0
"971",2472,0
"972",2477,0
"973",2478,0
"974",2479,0
"975",2481,0
"976",2482,0
"977",2483,0
"978",2484,0
"979",2485,0
"980",2486,0
"981",2489,0
"982",2493,0
"983",2494,0
"984",2497,0
"985",2498,0
"986",2500,0
"987",2501,0
"988",2502,0
"989",2503,0
"990",2505,0
"991",2506,0
"992",2511,0
"993",2513,0
"994",2516,0
"995",2518,0
"996",2522,0
"997",2523,0
"998",2526,0
"999",2533,0
"1000",2534,0
"1001",2535,0
"1002",2539,0
"1003",2540,0
"1004",2542,0
"1005",2543,0
"1006",2546,0
"1007",2559,0
"1008",2561,0
"1009",2562,0
"1010",2565,0
"1011",2566,0
"1012",2570,0
"1013",2571,0
"1014",2572,0
"1015",2573,0
"1016",2574,0
"1017",2577,0
"1018",2580,0
"1019",2581,0
"1020",2589,0
"1021",2590,0
"1022",2594,0
"1023",2595,0
"1024",2596,0
"1025",2599,0
"1026",2600,0
"1027",2602,0
"1028",2604,0
"1029",2605,0
"1030",2606,0
"1031",2607,0
"1032",2608,0
"1033",2609,0
"1034",2613,0
"1035",2615,0
"1036",2617,0
"1037",2619,0
"1038",2620,0
"1039",2622,0
"1040",2627,0
"1041",2629,0
"1042",2630,0
"1043",2633,0
"1044",2635,0
"1045",2642,0
"1046",2647,0
"1047",2648,0
"1048",2651,0
"1049",2652,0
"1050",2653,0
"1051",2655,0
"1052",2656,0
"1053",2660,0
"1054",2662,0
"1055",2664,0
"1056",2665,0
"1057",2667,0
"1058",2671,0
"1059",2673,0
"1060",2675,0
"1061",2676,0
"1062",2677,0
"1063",2678,0
"1064",2679,0
"1065",2680,0
"1066",2682,0
"1067",2687,0
"1068",2689,0
"1069",2690,0
"1070",2691,0
"1071",2694,0
"1072",2695,0
"1073",2698,0
"1074",2700,0
"1075",2701,0
"1076",2708,0
"1077",2712,0
"1078",2713,0
"1079",2714,0
"1080",2715,0
"1081",2721,0
"1082",2722,0
"1083",2725,0
"1084",2729,0
"1085",2733,0
"1086",2738,0
"1087",2739,0
"1088",2741,0
"1089",2750,0
"1090",2753,0
"1091",2755,0
"1092",2756,0
"1093",2757,0
"1094",2760,0
"1095",2761,0
"1096",2762,0
"1097",2766,0
"1098",2769,0
"1099",2770,0
"1100",2772,0
"1101",2775,0
"1102",2776,0
"1103",2777,0
"1104",2779,0
"1105",2780,0
"1106",2782,0
"1107",2783,0
"1108",2784,0
"1109",2785,0
"1110",2786,0
"1111",2787,0
"1112",2788,0
"1113",2789,0
"1114",2790,0
"1115",2792,0
"1116",2796,0
"1117",2797,0
"1118",2799,0
"1119",2800,0
"1120",2801,0
"1121",2802,0
"1122",2803,0
"1123",2804,0
"1124",2805,0
"1125",2806,0
"1126",2807,0
"1127",2808,0
"1128",2810,0
"1129",2811,0
"1130",2812,0
"1131",2815,0
"1132",2820,0
"1133",2821,0
"1134",2822,0
"1135",2823,0
"1136",2825,0
"1137",2828,0
"1138",2829,0
"1139",2830,0
"1140",2831,0
"1141",2832,0
"1142",2833,0
"1143",2834,0
"1144",2837,0
"1145",2839,0
"1146",2842,0
"1147",2843,0
"1148",2846,0
"1149",2847,0
"1150",2848,0
"1151",2849,0
"1152",2851,0
"1153",2852,0
"1154",2853,0
"1155",2854,0
"1156",2855,0
"1157",2856,0
"1158",2857,0
"1159",2858,0
"1160",2859,0
"1161",2863,0
"1162",2874,0
"1163",2879,0
"1164",2880,0
"1165",2881,0
"1166",2885,0
"1167",2886,0
"1168",2887,0
"1169",2888,0
"1170",2890,0
"1171",2893,0
"1172",2896,0
"1173",2897,0
"1174",2898,0
"1175",2899,0
"1176",2900,0
"1177",2901,0
"1178",2902,0
"1179",2903,0
"1180",2905,0
"1181",2906,0
"1182",2907,0
"1183",2909,0
"1184",2910,0
"1185",2911,0
"1186",2912,0
"1187",2913,0
"1188",2915,0
"1189",2916,0
"1190",2917,0
"1191",2922,0
"1192",2924,0
"1193",2925,0
"1194",2927,0
"1195",2928,0
"1196",2929,0
"1197",2930,0
"1198",2931,0
"1199",2932,0
"1200",2933,0
"1201",2936,0
"1202",2938,0
"1203",2940,0
"1204",2941,0
"1205",2942,0
"1206",2944,0
"1207",2945,0
"1208",2946,0
"1209",2947,0
"1210",2948,0
"1211",2949,0
"1212",2950,0
"1213",2951,0
"1214",2953,0
"1215",2954,0
"1216",2955,0
"1217",2956,0
"1218",2958,0
"1219",2960,0
"1220",2961,0
"1221",2962,0
"1222",2963,0
"1223",2964,0
"1224",2966,0
"1225",2967,0
"1226",2968,0
"1227",2969,0
"1228",2970,0
"1229",2973,0
"1230",2974,0
"1231",2975,0
"1232",2976,0
"1233",2977,0
"1234",2979,0
"1235",2980,0
"1236",2982,0
"1237",2983,0
"1238",2984,0
"1239",2985,0
"1240",2993,0
"1241",2996,0
"1242",2998,0
"1243",2999,0
"1244",3013,0
"1245",3014,0
"1246",3020,0
"1247",3021,0
"1248",3023,0
"1249",3027,0
"1250",3028,0
"1251",3034,0
"1252",3035,0
